,price,dlc_count,achievements,main_story,multi-language,has_voice_acting,extra_content_hours,independent,rpg,action,adventure,sim,casual,success
261,19.99,2,33,13.0,1.0,1.0,16.8,1.0,0.0,1.0,1.0,1.0,0.0,1.0
264,14.99,1,17,9.05,1.0,0.0,6.68,1.0,0.0,1.0,1.0,0.0,0.0,1.0
266,0.0,0,20,0.73,0.0,1.0,0.43999999999999995,1.0,0.0,0.0,1.0,1.0,1.0,1.0
267,14.99,1,50,28.45,1.0,0.0,28.98,1.0,1.0,0.0,0.0,0.0,0.0,1.0
269,14.99,0,34,11.07,1.0,0.0,7.66,1.0,0.0,0.0,1.0,1.0,0.0,1.0
272,19.99,4,62,17.93,1.0,0.0,27.22,0.0,0.0,0.0,0.0,1.0,0.0,1.0
274,39.99,4,80,11.02,1.0,1.0,23.650000000000002,0.0,0.0,1.0,0.0,0.0,0.0,1.0
275,19.99,0,29,18.3,1.0,0.0,15.669999999999998,1.0,0.0,0.0,0.0,1.0,0.0,1.0
276,0.0,0,0,3.23,0.0,1.0,9.27,1.0,0.0,0.0,0.0,1.0,0.0,1.0
277,7.99,0,12,0.87,1.0,1.0,1.6799999999999997,1.0,0.0,1.0,1.0,0.0,0.0,1.0
278,39.99,2,44,24.78,1.0,1.0,34.199999999999996,1.0,0.0,0.0,0.0,0.0,0.0,1.0
280,1.59,3,20,1.27,1.0,0.0,0.6799999999999999,1.0,1.0,0.0,1.0,1.0,0.0,1.0
281,29.99,5,81,16.3,1.0,1.0,39.5,0.0,1.0,1.0,0.0,0.0,0.0,0.0
282,19.99,0,61,2.35,1.0,1.0,32.72,1.0,0.0,1.0,0.0,0.0,0.0,1.0
285,20.99,1,0,10.17,1.0,0.0,15.909999999999998,1.0,0.0,1.0,1.0,1.0,1.0,1.0
287,1.49,0,69,3.53,0.0,0.0,0.4700000000000002,0.0,0.0,0.0,0.0,1.0,0.0,1.0
288,29.99,14,20,17.87,1.0,0.0,18.580000000000002,1.0,0.0,1.0,0.0,1.0,0.0,1.0
289,6.99,3,12,4.2,1.0,1.0,3.63,1.0,1.0,0.0,0.0,1.0,0.0,1.0
290,14.99,0,35,8.75,0.0,1.0,2.67,0.0,0.0,1.0,1.0,0.0,1.0,1.0
291,14.99,2,12,10.05,1.0,0.0,8.120000000000001,1.0,0.0,0.0,0.0,1.0,0.0,1.0
292,19.99,0,60,22.25,1.0,1.0,21.83,0.0,0.0,0.0,1.0,0.0,0.0,1.0
293,34.99,1,111,35.35,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
294,29.99,4,40,15.78,1.0,1.0,14.770000000000001,1.0,0.0,1.0,1.0,0.0,0.0,1.0
295,19.99,0,38,25.42,1.0,1.0,20.979999999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0
